Item,Cost,Product Url,Model Url,Swatch Url,Item Url,RGB
10-Pack Relaxed Essential Tees,$140,https://www.abercrombie.com/shop/us/p/10-pack-essential-tees-56657321?categoryId=12202&faceout=model&seq=01,https://img.abercrombie.com/is/image/anf/KIC_124-4544-00208-908_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_124-4544-00208-908_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_124-4544-00208-908_prod1?policy=product-xsmall,[152 140 121]
10-Pack Relaxed Essential Tees,$140,https://www.abercrombie.com/shop/us/p/10-pack-essential-tees-56657321?categoryId=12202&faceout=model&seq=01,https://img.abercrombie.com/is/image/anf/KIC_124-4296-00196-208_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_124-4296-00196-208_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_124-4296-00196-208_prod1?policy=product-xsmall,[ 97 141 184]
10-Pack Relaxed Essential Tees,$140,https://www.abercrombie.com/shop/us/p/10-pack-essential-tees-56657321?categoryId=12202&faceout=model&seq=01,https://img.abercrombie.com/is/image/anf/KIC_124-5034-00219-208_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_124-5034-00219-208_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_124-5034-00219-208_prod1?policy=product-xsmall,[125 128 113]
1994 Chargers Graphic Crew Sweatshirt,$90,https://www.abercrombie.com/shop/us/p/vintage-super-bowl-graphic-crew-sweatshirt-51641819?categoryId=12202&faceout=model&seq=39,https://img.abercrombie.com/is/image/anf/KIC_122-3209-0197-103_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-3209-0197-103_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-3209-0197-103_prod1?policy=product-xsmall,[209 191 180]
1994 Chargers Graphic Crew Sweatshirt,$90,https://www.abercrombie.com/shop/us/p/vintage-super-bowl-graphic-crew-sweatshirt-51641819?categoryId=12202&faceout=model&seq=39,https://img.abercrombie.com/is/image/anf/KIC_122-3208-0196-101_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-3208-0196-101_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-3208-0196-101_prod1?policy=product-xsmall,[125 103  69]
1994 Chargers Graphic Crew Sweatshirt,$90,https://www.abercrombie.com/shop/us/p/vintage-super-bowl-graphic-crew-sweatshirt-51641819?categoryId=12202&faceout=model&seq=39,https://img.abercrombie.com/is/image/anf/KIC_122-3203-0198-201_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-3203-0198-201_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-3203-0198-201_prod1?policy=product-xsmall,[ 85  90 117]
1994 Chargers Graphic Crew Sweatshirt,$90,https://www.abercrombie.com/shop/us/p/vintage-super-bowl-graphic-crew-sweatshirt-51641819?categoryId=12202&faceout=model&seq=39,https://img.abercrombie.com/is/image/anf/KIC_122-3108-0160-906_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-3108-0160-906_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_122-3108-0160-906_prod1?policy=product-xsmall,[ 87  85 105]
1994 Chargers Graphic Tee,$50,https://www.abercrombie.com/shop/us/p/vintage-super-bowl-graphic-tee-53328819?categoryId=12202&faceout=model&seq=06,https://img.abercrombie.com/is/image/anf/KIC_123-3179-3314-203_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-3179-3314-203_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-3179-3314-203_prod1?policy=product-xsmall,[71 67 85]
1994 Chargers Graphic Tee,$50,https://www.abercrombie.com/shop/us/p/vintage-super-bowl-graphic-tee-53328819?categoryId=12202&faceout=model&seq=06,https://img.abercrombie.com/is/image/anf/KIC_123-3153-3321-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-3153-3321-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-3153-3321-100_prod1?policy=product-xsmall,[ 84 117 129]
1994 Chargers Graphic Tee,$50,https://www.abercrombie.com/shop/us/p/vintage-super-bowl-graphic-tee-53328819?categoryId=12202&faceout=model&seq=06,https://img.abercrombie.com/is/image/anf/KIC_123-3175-3334-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-3175-3334-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_123-3175-3334-100_prod1?policy=product-xsmall,[119 122 106]
