Item,Cost,Product Url,Model Url,Swatch Url,Item Url,RGB
3-Pack Long-Sleeve Cropped Rib Crew Tops,$95,https://www.abercrombie.com/shop/us/p/3-pack-long-sleeve-cropped-rib-crew-tops-53475319?categoryId=12203&faceout=model&seq=01,https://img.abercrombie.com/is/image/anf/KIC_139-3674-0112-100_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_139-3674-0112-100_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_139-3674-0112-100_prod1?policy=product-xsmall,[120  66  88]
90s Clean Underwire Bikini Top,$55,https://www.abercrombie.com/shop/us/p/90s-clean-underwire-bikini-top-59063329?categoryId=12203&faceout=model&seq=03,https://img.abercrombie.com/is/image/anf/KIC_111-5014-00183-207_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_111-5014-00183-207_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_111-5014-00183-207_prod1?policy=product-xsmall,[53 51 80]
90s Clean Underwire Bikini Top,$55,https://www.abercrombie.com/shop/us/p/90s-clean-underwire-bikini-top-59063329?categoryId=12203&faceout=model&seq=03,https://img.abercrombie.com/is/image/anf/KIC_111-5015-00184-245_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_111-5015-00184-245_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_111-5015-00184-245_prod1?policy=product-xsmall,[110 138 178]
90s Clean Underwire Bikini Top,$55,https://www.abercrombie.com/shop/us/p/90s-clean-underwire-bikini-top-59063329?categoryId=12203&faceout=model&seq=03,https://img.abercrombie.com/is/image/anf/KIC_111-5003-00182-901_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_111-5003-00182-901_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_111-5003-00182-901_prod1?policy=product-xsmall,[35 34 36]
A&F Harper Tailored Ultra Wide Leg Cargo Pant,$100,https://www.abercrombie.com/shop/us/p/a-and-f-harper-tailored-wide-leg-cargo-pant-58398472?categoryId=12203&faceout=model&seq=19,https://img.abercrombie.com/is/image/anf/KIC_156-4383-00466-455_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_156-4383-00466-455_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_156-4383-00466-455_prod1?policy=product-xsmall,[161 132 110]
A&F Harper Tailored Ultra Wide Leg Pant,$90,https://www.abercrombie.com/shop/us/p/a-and-f-harper-tailored-pant-56462320?categoryId=12203&faceout=model&seq=01,https://img.abercrombie.com/is/image/anf/KIC_156-4240-00426-410_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_156-4240-00426-410_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_156-4240-00426-410_prod1?policy=product-xsmall,[223 214 204]
A&F Harper Tailored Ultra Wide Leg Pant,$90,https://www.abercrombie.com/shop/us/p/a-and-f-harper-tailored-pant-56462320?categoryId=12203&faceout=model&seq=01,https://img.abercrombie.com/is/image/anf/KIC_156-4242-0345-365_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_156-4242-0345-365_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_156-4242-0345-365_prod1?policy=product-xsmall,[194 200 190]
A&F Harper Tailored Ultra Wide Leg Pant,$90,https://www.abercrombie.com/shop/us/p/a-and-f-harper-tailored-pant-56462320?categoryId=12203&faceout=model&seq=01,https://img.abercrombie.com/is/image/anf/KIC_156-4244-0344-900_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_156-4244-0344-900_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_156-4244-0344-900_prod1?policy=product-xsmall,[26 26 26]
A&F Quinn Tailored Straight Pant,$90,https://www.abercrombie.com/shop/us/p/a-and-f-quinn-tailored-pant-57520901?categoryId=12203&faceout=model&seq=02,https://img.abercrombie.com/is/image/anf/KIC_156-4360-00330-200_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_156-4360-00330-200_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_156-4360-00330-200_prod1?policy=product-xsmall,[27 31 45]
A&F Quinn Tailored Straight Pant,$90,https://www.abercrombie.com/shop/us/p/a-and-f-quinn-tailored-pant-57520901?categoryId=12203&faceout=model&seq=02,https://img.abercrombie.com/is/image/anf/KIC_156-4358-00327-900_model1?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_156-4358-00327-900_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_156-4358-00327-900_prod1?policy=product-xsmall,[23 23 23]
