Item,Cost,Product Url,Item Url,Swatch Url,Model Url,RGB
End-on-end cotton nightshirt,$79.50,https://www.jcrew.com/p/womens/categories/clothing/pajamas-and-intimates/nightgowns/end-on-end-cotton-nightshirt/AY704?display=standard&fit=Classic&color_name=white&colorProductCode=AY704,https://www.jcrew.com/s7-img-facade/AY704_WT0002,https://www.jcrew.com/s7-img-facade/AY704_WT0002_sw,https://www.jcrew.com/s7-img-facade/AY704_WT0002_m,[211 213 216]
End-on-end cotton nightshirt,$79.50,https://www.jcrew.com/p/womens/categories/clothing/pajamas-and-intimates/nightgowns/end-on-end-cotton-nightshirt/AY704?display=standard&fit=Classic&color_name=white&colorProductCode=AY704,https://www.jcrew.com/s7-img-facade/AY704_WT0002,https://www.jcrew.com/s7-img-facade/AY704_WT0002_sw,https://www.jcrew.com/s7-img-facade/AY704_WT0002_m,[211 213 216]
End-on-end cotton nightshirt,$79.50,https://www.jcrew.com/p/womens/categories/clothing/pajamas-and-intimates/nightgowns/end-on-end-cotton-nightshirt/AY704?display=standard&fit=Classic&color_name=white&colorProductCode=AY704,https://www.jcrew.com/s7-img-facade/AY704_BL8133,https://www.jcrew.com/s7-img-facade/AY704_BL8133_sw,https://www.jcrew.com/s7-img-facade/AY704_BL8133_m,[28 33 63]
End-on-end cotton nightshirt,$79.50,https://www.jcrew.com/p/womens/categories/clothing/pajamas-and-intimates/nightgowns/end-on-end-cotton-nightshirt/AY704?display=standard&fit=Classic&color_name=white&colorProductCode=AY704,https://www.jcrew.com/s7-img-facade/AY704_BL7133,https://www.jcrew.com/s7-img-facade/AY704_BL7133_sw,https://www.jcrew.com/s7-img-facade/AY704_BL7133_m,[166 180 213]
Tall Cameron slim crop pant in Italian stretch wool blend,$188,https://www.jcrew.com/p/womens/categories/clothing/pants/slim/tall-cameron-slim-crop-pant-in-italian-stretch-wool-blend/J5386?display=standard&fit=Tall&color_name=royal-blue&colorProductCode=J5386,https://www.jcrew.com/s7-img-facade/J5386_WQ8678,https://www.jcrew.com/s7-img-facade/J5386_WQ8678_sw,https://www.jcrew.com/s7-img-facade/J5386_WQ8678_m,[  0  76 174]
Parke blazer in bi-stretch cotton,$198,https://www.jcrew.com/p/womens/categories/clothing/blazers/parke/parke-blazer-in-bi-stretch-cotton/H5513?display=standard&fit=Classic&color_name=ivory&colorProductCode=H5513,https://www.jcrew.com/s7-img-facade/H5513_NA6434,https://www.jcrew.com/s7-img-facade/H5513_NA6434_sw,https://www.jcrew.com/s7-img-facade/H5513_NA6434_m,[238 239 234]
Tall full-length Cameron pant in four-season stretch,$118,https://www.jcrew.com/p/womens/categories/clothing/pants/slim/tall-full-length-cameron-pant-in-four-season-stretch/K2089?display=standard&fit=Tall&color_name=hthr-graphite&colorProductCode=K2089,https://www.jcrew.com/s7-img-facade/K2089_GY6689,https://www.jcrew.com/s7-img-facade/K2089_GY6689_sw,https://www.jcrew.com/s7-img-facade/K2089_GY6689_m,[142 137 144]
Classic denim jacket in Brilliant Day wash,$138,https://www.jcrew.com/p/womens/categories/clothing/coats-and-jackets/denim-jacket/classic-denim-jacket-in-brilliant-day-wash/AI670?display=standard&fit=Classic&color_name=silver-button&colorProductCode=AI670,https://www.jcrew.com/s7-img-facade/AI670_DM7700,https://www.jcrew.com/s7-img-facade/AI670_DM7700_sw,https://www.jcrew.com/s7-img-facade/AI670_DM7700_m,[ 85 104 122]
Cotton poplin pajama pant in stripe,$59.50-$69.50select colors $39.50,https://www.jcrew.com/m/womens/categories/clothing/pajamas-and-intimates/pajama-bottoms/cotton-poplin-pajama-pant-in-stripe/ME277?display=standard&fit=Classic&color_name=pale-banana&colorProductCode=CI716,https://www.jcrew.com/s7-img-facade/CI716_YD7636,https://www.jcrew.com/s7-img-facade/CI716_YD7636_sw,https://www.jcrew.com/s7-img-facade/CI716_YD7636_m,[243 234 209]
Cotton poplin pajama pant in stripe,$59.50-$69.50select colors $39.50,https://www.jcrew.com/m/womens/categories/clothing/pajamas-and-intimates/pajama-bottoms/cotton-poplin-pajama-pant-in-stripe/ME277?display=standard&fit=Classic&color_name=pale-banana&colorProductCode=CI716,https://www.jcrew.com/s7-img-facade/CI716_YD7636,https://www.jcrew.com/s7-img-facade/CI716_YD7636_sw,https://www.jcrew.com/s7-img-facade/CI716_YD7636_m,[243 234 209]
Cotton poplin pajama pant in stripe,$59.50-$69.50select colors $39.50,https://www.jcrew.com/m/womens/categories/clothing/pajamas-and-intimates/pajama-bottoms/cotton-poplin-pajama-pant-in-stripe/ME277?display=standard&fit=Classic&color_name=pale-banana&colorProductCode=CI716,https://www.jcrew.com/s7-img-facade/CI700_WT0002,https://www.jcrew.com/s7-img-facade/CI700_WT0002_sw,https://www.jcrew.com/s7-img-facade/CI700_WT0002_m,[240 240 240]
Perfect raincoat,$148,https://www.jcrew.com/p/womens/categories/clothing/coats-and-jackets/rain-jacket/perfect-raincoat/CF702?display=standard&fit=Classic&color_name=navy&colorProductCode=CF702,https://www.jcrew.com/s7-img-facade/CF702_BL8133,https://www.jcrew.com/s7-img-facade/CF702_BL8133_sw,https://www.jcrew.com/s7-img-facade/CF702_BL8133_m,[44 48 74]
Perfect raincoat,$148,https://www.jcrew.com/p/womens/categories/clothing/coats-and-jackets/rain-jacket/perfect-raincoat/CF702?display=standard&fit=Classic&color_name=navy&colorProductCode=CF702,https://www.jcrew.com/s7-img-facade/CF702_GR5863,https://www.jcrew.com/s7-img-facade/CF702_GR5863_sw,https://www.jcrew.com/s7-img-facade/CF702_GR5863_m,[127 110  64]
Perfect raincoat,$148,https://www.jcrew.com/p/womens/categories/clothing/coats-and-jackets/rain-jacket/perfect-raincoat/CF702?display=standard&fit=Classic&color_name=navy&colorProductCode=CF702,https://www.jcrew.com/s7-img-facade/CF702_BL8133,https://www.jcrew.com/s7-img-facade/CF702_BL8133_sw,https://www.jcrew.com/s7-img-facade/CF702_BL8133_m,[44 48 74]
Perfect raincoat,$148,https://www.jcrew.com/p/womens/categories/clothing/coats-and-jackets/rain-jacket/perfect-raincoat/CF702?display=standard&fit=Classic&color_name=navy&colorProductCode=CF702,https://www.jcrew.com/s7-img-facade/CF702_BK0001,https://www.jcrew.com/s7-img-facade/CF702_BK0001_sw,https://www.jcrew.com/s7-img-facade/CF702_BK0001_m,[36 36 40]
New high-rise denim trouser jean,$158select colors $119.50,https://www.jcrew.com/m/womens/categories/clothing/denim/wide-leg/new-high-rise-denim-trouser-jean/ME259?display=standard&fit=Classic&color_name=white-denim&colorProductCode=CH679,https://www.jcrew.com/s7-img-facade/CH679_DM0574,https://www.jcrew.com/s7-img-facade/CH679_DM0574_sw,https://www.jcrew.com/s7-img-facade/CH679_DM0574_m,[215 215 214]
New high-rise denim trouser jean,$158select colors $119.50,https://www.jcrew.com/m/womens/categories/clothing/denim/wide-leg/new-high-rise-denim-trouser-jean/ME259?display=standard&fit=Classic&color_name=white-denim&colorProductCode=CH679,https://www.jcrew.com/s7-img-facade/CH825_DM8868,https://www.jcrew.com/s7-img-facade/CH825_DM8868_sw,https://www.jcrew.com/s7-img-facade/CH825_DM8868_m,[126 154 175]
